"","alpha_code","taxonomy","common_name","scientific_name","exposure_model","iucn_status","prop0561","prop0562","prop0563","prop0564","prop0565","prop0566","prop0567","propOR","propCA","propALL","CV","DV"
"21","POJA","Stercorariidae (Skuas)","Pomarine Jaeger","Stercorarius pomarinus","POJA","LC",0.000875813462011794,0.0011316046899937,0.000995423110709279,0.000949445516096077,0.00094175706298764,0.000452391824634722,0.00164283758651258,0.0020952294111473,0.00489404384179849,0.00698927325294579,0.01383,0.02
"22","ASSP","Hydrobatidae (Northern Storm-petrels)","Ashy Storm-Petrel","Hydrobates homochroa","ASSP","EN",0.00026490947635801,0.00036272468377189,0.000516858421681441,0.000496565083407838,0.000472239464172493,0.000217852393260315,0.000515805121007372,0.000733657514267687,0.00211329712939167,0.00284695464365936,0.00619,0.369
"23","BOGU","Laridae (Gulls, Terns, Skimmers)","Bonaparte's Gull","Chroicocephalus philadelphia","BOGU","LC",0.00102267613808135,0.000795171732465143,0.000387124465651972,0.000423881336622187,0.000514398372128624,0.000354249977631007,0.00108752867732588,0.00144177865495689,0.00314325204494928,0.00458503069990617,0.01333,0.2
"24","BULS","Procellariidae (Petrels, Shearwaters)","Buller's Shearwater","Ardenna bulleri","BULS","VU",0.00084282365246482,0.00109179506381309,0.000322650129999027,0.000283771573603141,0.000318817175676611,0.000840921109748776,0.00192625226591613,0.0027671733756649,0.00285985759555669,0.00562703097122159,4e-05,0.181
"25","SUSC","Anatidae (Ducks, Geese, & Waterfowl)","Surf Scoter","Melanitta perspicillata","SCOT","LC",2.50060999545699e-05,2.7576776309785e-05,4.8832782067021e-05,4.83288478100469e-05,4.82152306193256e-05,2.60336378550732e-05,5.34552790329545e-05,7.94889168880278e-05,0.000197959736760748,0.000277448653648776,0.00019,0.736
"26","WWSC","Anatidae (Ducks, Geese, & Waterfowl)","White-winged Scoter","Melanitta deglandi","SCOT","LC",2.50060999545699e-05,2.7576776309785e-05,4.8832782067021e-05,4.83288478100469e-05,4.82152306193256e-05,2.60336378550732e-05,5.34552790329545e-05,7.94889168880278e-05,0.000197959736760748,0.000277448653648776,3e-04,0.736
"27","BLSC","Anatidae (Ducks, Geese, & Waterfowl)","Black Scoter","Melanitta americana","SCOT","NT",2.50060999545699e-05,2.7576776309785e-05,4.8832782067021e-05,4.83288478100469e-05,4.82152306193256e-05,2.60336378550732e-05,5.34552790329545e-05,7.94889168880278e-05,0.000197959736760748,0.000277448653648776,0.00027,0.78
"28","PAJA","Stercorariidae (Skuas)","Parasitic Jaeger","Stercorarius parasiticus","PAJA-LTJA","LC",0.000257050732945842,0.00036289673279045,0.000209952249481657,0.000199222755257927,0.000186611913820248,0.000310576784552535,0.00109231001458259,0.00140288679913512,0.00121573438429612,0.00261862118343125,0.01379,0.037
"29","LTJA","Stercorariidae (Skuas)","Long-tailed Jaeger","Stercorarius longicaudus","PAJA-LTJA","LC",0.000257050732945842,0.00036289673279045,0.000209952249481657,0.000199222755257927,0.000186611913820248,0.000310576784552535,0.00109231001458259,0.00140288679913512,0.00121573438429612,0.00261862118343125,0.01544,0.037
"30","BRPE","Pelecanidae (Pelicans)","Brown Pelican","Pelecanus occidentalis","BRPE","LC",7.98188217336497e-05,8.72288275024206e-05,0.000147068926409834,0.000162246169396558,0.00024771193265987,5.01833559997771e-05,0.000134688844478895,0.000184872200478672,0.000724074677702332,0.000908946878181004,0.01108,0.553
"31","ARTE","Laridae (Gulls, Terns, Skimmers)","Arctic Tern","Sterna paradisaea","COTE-ARTE","LC",0.000153126603005907,0.000190641566371003,0.000427040708006716,0.000468437767496678,0.00038014735107176,0.000173512437775504,0.000500501839818038,0.000674014277593541,0.00161939399595206,0.00229340827354561,0.00273,0.288
"32","CLGR","Podicipedidae (Grebes)","Clark's Grebe","Aechmophorus clarkii","WEGR-CLGR","LC",6.638649574021e-05,6.63166205016139e-05,6.34188489812269e-05,6.38320392416423e-05,6.4665657765718e-05,4.90349894595478e-05,0.000107304341784452,0.000156339331243999,0.000324619662230411,0.000480958993474411,0.00137,0.342
"33","WEGR","Podicipedidae (Grebes)","Western Grebe","Aechmophorus occidentalis","WEGR-CLGR","LC",6.638649574021e-05,6.63166205016139e-05,6.34188489812269e-05,6.38320392416423e-05,6.4665657765718e-05,4.90349894595478e-05,0.000107304341784452,0.000156339331243999,0.000324619662230411,0.000480958993474411,0.00142,0.342
"34","BVSH","Procellariidae (Petrels, Shearwaters)","Black-vented Shearwater","Puffinus opisthomelas","BVSH","NT",0.000132670314316001,0.00014214534559314,0.000159817161625143,0.000170509090014644,0.000199867988336184,0.000105982781876944,0.000271831673503705,0.000377814455380649,0.000805009899885112,0.00118282435526576,4e-05,0.228
"35","HEEG","Laridae (Gulls, Terns, Skimmers)","Heermann's Gull","Larus heermanni","HEEG","NT",0.00011039504098109,0.000113558646008901,8.41327831860317e-05,9.88647630268376e-05,0.000135691584027457,7.49039269528628e-05,0.000201465091491198,0.000276369018444061,0.000542642817230317,0.000819011835674378,0.04989,0.144
"36","SPSK","Stercorariidae (Skuas)","South Polar Skua","Stercorarius maccormicki","SPSK","LC",0.001432503870364,0.00157377934217343,0.000367423464324803,0.000353901553850815,0.000357873854925777,0.000728817108110162,0.00306118711875887,0.00379000422686904,0.00408548208563882,0.00787548631250786,0.0124,0.038
"37","BLSP","Hydrobatidae (Northern Storm-petrels)","Black Storm-Petrel","Hydrobates melania","BLSP","LC",0.000148127046427546,0.000175646813596995,0.000263646685243552,0.000314801504674712,0.000489258837662763,0.000125341884454301,0.000317241193995171,0.000442583078449471,0.00139148088760557,0.00183406396605504,0.00591,0.279
"38","ELTE","Laridae (Gulls, Terns, Skimmers)","Elegant Tern","Thalasseus elegans","ROYT-ELTE","NT",0.000156715995270919,0.000169051346783265,0.000199848587740215,0.000211945311358885,0.000246108930814435,0.000140343333362399,0.00031492425497815,0.000455267588340549,0.000983670171967719,0.00143893776030827,0.01952,0.308
"39","LAAL","Diomedeidae (Albatrosses)","Laysan Albatross","Phoebastria immutabilis","LAAL","NT",2.41548736863555e-05,2.83073941189836e-05,2.98012339057077e-05,2.42106171884309e-05,1.96491209009943e-05,2.15826811082361e-05,5.6842869386237e-05,7.84255504944731e-05,0.000126123239800472,0.000204548790294945,0.01054,0.085
"40","TUPU","Alcidae (Auks)","Tufted Puffin","Fratercula cirrhata","TUPU","LC",0.000171167227494977,0.000180818315198937,9.42805391902713e-05,9.94079819181137e-05,8.97978842991268e-05,0.000167623694708692,0.000312786137490232,0.000480409832198924,0.000635471948101426,0.00111588178030035,3e-05,0.331
"41","MAMU","Alcidae (Auks)","Marbled Murrelet","Brachyramphus marmoratus","MAMU","EN",7.52635066623904e-05,7.91001966098238e-05,5.88655363328459e-05,5.95916017294591e-05,5.97997499891228e-05,8.14170006371851e-05,0.000186590644594354,0.000268007645231539,0.000332620591323642,0.000600628236555181,0.00036,0.555
"42","PECO","Phalacrocoracidae (Cormorants)","Pelagic Cormorant","Urile pelagicus","PECO","LC",0.000113226908891803,0.00012742192113894,0.000117122817777317,0.00011763516324976,0.000116783030810188,0.000113179710171142,0.000302987409687555,0.000416167119858697,0.000592189841868008,0.0010083569617267,0.00116,0.159
