common_name,exp_ci,CV,DV,rl_category,ess_ci,pri_rank,rank_range
Pink-footed Shearwater,"0.811 (0.600, 1.082)",0.001,0.204,VU,"1.672 (0.632, 2.992)",1,1 (1–9)
Cassin's Auklet,"0.545 (0.257, 0.772)",0.001,0.518,NT,"1.106 (0.277, 2.605)",2,2 (1–30)
Red Phalarope,"0.275 (0.159, 0.500)",0.159,0.195,LC,"0.781 (0.430, 1.906)",3,3 (1–14)
Red-necked Phalarope,"0.275 (0.159, 0.500)",0.153,0.195,LC,"0.719 (0.396, 1.757)",4,4 (1–18)
South Polar Skua,"0.785 (0.397, 1.239)",0.012,0.038,LC,"0.543 (0.091, 1.038)",5,5 (1–42)
Buller's Shearwater,"0.511 (0.313, 0.707)",0,0.181,VU,"0.444 (0.168, 0.935)",6,6 (1–27)
Ashy Storm-Petrel,"0.287 (0.236, 0.351)",0.006,0.369,EN,"0.426 (0.338, 0.557)",7,7 (3–14)
Guadalupe Murrelet,"0.177 (0.132, 0.233)",0.001,0.537,EN,"0.416 (0.341, 0.528)",8,8 (2–15)
Pomarine Jaeger,"0.699 (0.472, 1.039)",0.014,0.02,LC,"0.379 (0.122, 1.000)",9,9 (1–34)
Craveri's Murrelet,"0.177 (0.132, 0.233)",0.001,0.589,VU,"0.348 (0.286, 0.442)",10,10 (5–16)
Bonaparte's Gull,"0.486 (0.202, 1.480)",0.013,0.2,LC,"0.346 (0.066, 1.771)",11,11 (1–46)
Rhinoceros Auklet,"0.423 (0.265, 0.601)",0,0.408,LC,"0.301 (0.141, 0.608)",12,12 (2–40)
Scripps's Murrelet,"0.177 (0.132, 0.233)",0.001,0.537,VU,"0.294 (0.241, 0.374)",13,13 (5–21)
Northern Fulmar,"0.584 (0.322, 0.798)",0.001,0.137,LC,"0.268 (0.076, 0.605)",14,14 (2–52)
Black-footed Albatross,"0.457 (0.227, 0.791)",0.01,0.131,NT,"0.261 (0.080, 0.936)",15,15 (1–40)
Marbled Murrelet,"0.050 (0.035, 0.065)",0,0.555,EN,"0.252 (0.236, 0.269)",16,16 (9–20)
Sabine's Gull,"0.483 (0.233, 0.781)",0.013,0.155,LC,"0.247 (0.066, 0.713)",17,17 (1–54)
Short-tailed Albatross,"0.288 (0.016, 0.650)",0.011,0.162,VU,"0.240 (0.050, 0.791)",18,18 (1–49)
Black Scoter,"0.024 (0.011, 0.045)",0,0.78,NT,"0.231 (0.218, 0.253)",19,19 (10–20)
Townsend's Storm-Petrel,"0.144 (0.031, 0.255)",0.005,0.371,EN,"0.231 (0.137, 0.364)",20,20 (3–27)
Hawaiian Petrel,"0.113 (0.008, 0.607)",0.001,0.26,EN,"0.195 (0.082, 1.107)",21,21 (1–39)
Sooty Shearwater,"0.340 (0.087, 0.521)",0,0.209,NT,"0.158 (0.049, 0.321)",22,22 (8–52)
Pigeon Guillemot,"0.147 (0.116, 0.176)",0,0.583,LC,"0.149 (0.129, 0.168)",23,23 (16–32)
White-winged Scoter,"0.024 (0.011, 0.045)",0,0.736,LC,"0.142 (0.134, 0.155)",24,24 (16–27)
Surf Scoter,"0.024 (0.011, 0.045)",0,0.736,LC,"0.142 (0.134, 0.155)",25,25 (17–28)
Black-legged Kittiwake,"0.216 (0.074, 0.386)",0.028,0.093,VU,"0.133 (0.066, 0.259)",26,26 (3–45)
Yellow-billed Loon,"0.108 (0.038, 0.148)",0.002,0.464,NT,"0.125 (0.091, 0.147)",27,27 (18–36)
Red-throated Loon,"0.095 (0.070, 0.157)",0.002,0.57,LC,"0.117 (0.104, 0.152)",28,28 (18–35)
Brown Pelican,"0.076 (0.055, 0.098)",0.011,0.553,LC,"0.116 (0.105, 0.127)",29,29 (21–33)
Common Loon,"0.157 (0.030, 0.253)",0.001,0.476,LC,"0.113 (0.063, 0.168)",30,30 (13–44)
Pacific Loon,"0.108 (0.038, 0.148)",0.002,0.532,LC,"0.111 (0.081, 0.130)",31,31 (21–39)
California Gull,"0.230 (0.025, 0.349)",0.05,0.129,LC,"0.106 (0.041, 0.168)",32,32 (14–53)
Elegant Tern,"0.127 (0.094, 0.162)",0.02,0.308,NT,"0.105 (0.091, 0.122)",33,33 (23–37)
Iceland Gull,"0.259 (0.162, 0.398)",0.05,0.055,LC,"0.093 (0.059, 0.164)",34,34 (11–45)
Glaucous-winged Gull,"0.158 (0.056, 0.208)",0.066,0.127,LC,"0.092 (0.059, 0.114)",35,35 (25–47)
Arctic Tern,"0.230 (0.148, 0.348)",0.003,0.288,LC,"0.088 (0.060, 0.143)",36,36 (16–48)
American Herring Gull,"0.259 (0.162, 0.398)",0.037,0.055,LC,"0.078 (0.049, 0.136)",37,37 (13–52)
Heermann's Gull,"0.067 (0.024, 0.113)",0.05,0.144,NT,"0.074 (0.061, 0.090)",38,38 (30–46)
Leach's Storm-Petrel,"0.062 (0.019, 0.136)",0.008,0.228,VU,"0.073 (0.060, 0.100)",39,39 (27–45)
Ancient Murrelet,"0.047 (0.002, 0.089)",0.001,0.494,LC,"0.073 (0.060, 0.088)",40,40 (28–46)
Caspian Tern,"0.074 (0.025, 0.113)",0.015,0.392,LC,"0.073 (0.058, 0.085)",41,41 (31–45)
Black Storm-Petrel,"0.161 (0.093, 0.232)",0.006,0.279,LC,"0.065 (0.048, 0.088)",42,42 (27–49)
Black-vented Shearwater,"0.117 (0.054, 0.197)",0,0.228,NT,"0.060 (0.045, 0.084)",43,43 (31–52)
Tufted Puffin,"0.099 (0.040, 0.147)",0,0.331,LC,"0.054 (0.041, 0.066)",44,44 (36–52)
Long-tailed Jaeger,"0.239 (0.137, 0.375)",0.015,0.037,LC,"0.049 (0.031, 0.086)",45,45 (27–56)
Fork-tailed Storm-Petrel,"0.126 (0.047, 0.291)",0.006,0.227,LC,"0.049 (0.033, 0.096)",46,46 (27–55)
Parasitic Jaeger,"0.239 (0.137, 0.375)",0.014,0.037,LC,"0.048 (0.030, 0.084)",47,47 (26–56)
Cook's Petrel,"0.011 (0.002, 0.020)",0,0.196,VU,"0.047 (0.046, 0.049)",48,48 (43–51)
