alpha_code,taxonomy,common_name,scientific_name,exposure_model,iucn_status,prop0561,prop0562,prop0563,prop0564,prop0565,prop0566,prop0567,propOR,propCA,propALL,CV,DV
PALO,Gaviidae (Loons),Pacific Loon,Gavia pacifica,LOON,LC,1.693546157255228e-4,1.7189989340647645e-4,1.9312890339938464e-4,1.9854776979323543e-4,2.204792918361093e-4,1.5232748129680634e-4,3.2427315327308143e-4,4.766006345698878e-4,9.534104741607286e-4,0.00143001110873061,0.00231,0.532
YBLO,Gaviidae (Loons),Yellow-billed Loon,Gavia adamsii,LOON,NT,1.693546157255228e-4,1.7189989340647645e-4,1.9312890339938464e-4,1.9854776979323543e-4,2.204792918361093e-4,1.5232748129680634e-4,3.2427315327308143e-4,4.766006345698878e-4,9.534104741607286e-4,0.00143001110873061,0.00203,0.464
POJA,Stercorariidae (Skuas),Pomarine Jaeger,Stercorarius pomarinus,POJA,LC,8.758134620117935e-4,0.00113160468999369,9.954231107092793e-4,9.494455160960772e-4,9.4175706298764e-4,4.523918246347215e-4,0.00164283758651258,0.0020952294111473,0.00489404384179848,0.00698927325294579,0.01383,0.02
ASSP,Hydrobatidae (Northern Storm-petrels),Ashy Storm-Petrel,Hydrobates homochroa,ASSP,EN,2.649094763580096e-4,3.627246837718901e-4,5.168584216814412e-4,4.965650834078378e-4,4.72239464172493e-4,2.1785239326031528e-4,5.158051210073719e-4,7.336575142676871e-4,0.00211329712939167,0.00284695464365935,0.00619,0.369
BOGU,"Laridae (Gulls, Terns, Skimmers)",Bonaparte's Gull,Chroicocephalus philadelphia,BOGU,LC,0.00102267613808135,7.95171732465143e-4,3.8712446565197225e-4,4.238813366221869e-4,5.143983721286241e-4,3.542499776310071e-4,0.00108752867732588,0.00144177865495688,0.00314325204494928,0.00458503069990616,0.01333,0.2
BULS,"Procellariidae (Petrels, Shearwaters)",Buller's Shearwater,Ardenna bulleri,BULS,VU,8.428236524648196e-4,0.00109179506381309,3.2265012999902707e-4,2.837715736031414e-4,3.1881717567661095e-4,8.409211097487758e-4,0.00192625226591612,0.0027671733756649,0.00285985759555669,0.00562703097122159,4e-5,0.181
SUSC,"Anatidae (Ducks, Geese, & Waterfowl)",Surf Scoter,Melanitta perspicillata,SCOT,LC,2.5006099954569907e-5,2.7576776309784968e-5,4.883278206702104e-5,4.8328847810046934e-5,4.821523061932558e-5,2.603363785507324e-5,5.3455279032954534e-5,7.948891688802778e-5,1.979597367607484e-4,2.774486536487762e-4,1.9e-4,0.736
WWSC,"Anatidae (Ducks, Geese, & Waterfowl)",White-winged Scoter,Melanitta deglandi,SCOT,LC,2.5006099954569907e-5,2.7576776309784968e-5,4.883278206702104e-5,4.8328847810046934e-5,4.821523061932558e-5,2.603363785507324e-5,5.3455279032954534e-5,7.948891688802778e-5,1.979597367607484e-4,2.774486536487762e-4,3e-4,0.736
BLSC,"Anatidae (Ducks, Geese, & Waterfowl)",Black Scoter,Melanitta americana,SCOT,NT,2.5006099954569907e-5,2.7576776309784968e-5,4.883278206702104e-5,4.8328847810046934e-5,4.821523061932558e-5,2.603363785507324e-5,5.3455279032954534e-5,7.948891688802778e-5,1.979597367607484e-4,2.774486536487762e-4,2.7e-4,0.78
PAJA,Stercorariidae (Skuas),Parasitic Jaeger,Stercorarius parasiticus,PAJA-LTJA,LC,2.570507329458421e-4,3.6289673279044993e-4,2.099522494816568e-4,1.992227552579274e-4,1.8661191382024825e-4,3.105767845525347e-4,0.00109231001458258,0.00140288679913512,0.00121573438429612,0.00261862118343124,0.01379,0.037
LTJA,Stercorariidae (Skuas),Long-tailed Jaeger,Stercorarius longicaudus,PAJA-LTJA,LC,2.570507329458421e-4,3.6289673279044993e-4,2.099522494816568e-4,1.992227552579274e-4,1.8661191382024825e-4,3.105767845525347e-4,0.00109231001458258,0.00140288679913512,0.00121573438429612,0.00261862118343124,0.01544,0.037
