species,estimate,0561,0562,0563,0564,0565,0566,0567,CA,OR,ALL
Hawaiian Petrel,low,2.015508705326344e-5,2.2934393856535653e-5,3.06528635691305e-5,2.575231770396119e-5,1.9227796346891818e-5,1.6376209927644225e-5,4.9682849689700655e-5,1.2231653195861816e-4,6.660683888515243e-5,1.9130289889965156e-4
Hawaiian Petrel,mean,7.502942403805185e-5,8.175626423331137e-5,6.769026478696236e-5,6.11295076406899e-5,5.166677342279456e-5,6.013763605252509e-5,1.6034276217056885e-4,3.545493823665025e-4,2.2215789448572055e-4,5.814070221800576e-4
Hawaiian Petrel,high,2.7926317184288175e-4,2.913998300122149e-4,1.4947272016702326e-4,1.4509898272779473e-4,1.3882554925186513e-4,2.2081497517301385e-4,5.173508755228967e-4,0.0010272516225985876,7.407078229628985e-4,0.0017656051424975478
Short-tailed Albatross,low,1.2126543419511145e-4,1.21476879652897e-4,4.7234957521146447e-5,4.109595739111027e-5,3.513644387284214e-5,8.392243953665951e-5,2.266317569876474e-4,3.891291111072152e-4,3.1679155086879906e-4,7.064707113130607e-4
Short-tailed Albatross,mean,3.96340760967795e-4,3.6707652081109524e-4,1.0111713094272716e-4,9.96511402033417e-5,9.887920278641474e-5,2.8735864139510834e-4,5.694296799662152e-4,0.0010933505075500886,8.674424127817719e-4,0.0019625385524677727
Short-tailed Albatross,high,0.0012945818532065212,0.0011086742601927712,2.164508291681895e-4,2.4161795715113308e-4,2.78228674975357e-4,9.834590617700718e-4,0.001429994134259149,0.003068115805579686,0.002372969185299838,0.0054396724942643694
Townsend's Storm-Petrel,low,9.318091572447446e-5,1.0576129043883107e-4,9.682415066923184e-5,1.0139631303372507e-4,1.2694369746608087e-4,6.463754086157379e-5,2.1354128430576516e-4,5.901243005511707e-4,2.886818383360556e-4,9.28581941665058e-4
Townsend's Storm-Petrel,mean,1.2818704019123205e-4,1.483605493812999e-4,1.7924435052880515e-4,2.0207626232460435e-4,2.8490961593134344e-4,9.770286962496687e-5,2.907838025437483e-4,9.776236380423067e-4,3.918047733832688e-4,0.0013902517647663166
Townsend's Storm-Petrel,high,1.7634191540877837e-4,2.0811465911987692e-4,3.318003081570664e-4,0.00040268459834829013,6.393191293979668e-4,1.476802665151771e-4,3.959555509852866e-4,0.0016191583828827738,5.317456925363401e-4,0.002080975230570142
