"","alpha_code","taxonomy","common_name","scientific_name","pct_in_CCS_Lower","pct_in_CCS_Upper","CCSpop_Score","CACurrent_breeding","regional","why?","exposure_model","iucn_status","iucn_trend","ESA","CA_status","OR_status","WA_status","NOM_059_ECOL_2001","COSEWIC","propOR","propCA","propALL","CV","DV","rescaled_propALL","rescaled_propCA","rescaled_propOR","rescaled_DV","rescaled_CV","highest_sens"
"62","RTLO","Gaviidae (Loons)","Red-throated Loon","Gavia stellata",2.49,4.2,2,FALSE,"Y",">1% gobal population uses CCS","RTLO","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000399322768888389,0.000671895211137284,0.00107121798002567,0.00208,0.57,0.114110629661838,0.0991486796796511,0.0936176633560289,0.723684210526316,0.0120144640149306,"DV"
"63","HOPU","Alcidae (Auks)","Horned Puffin","Fratercula corniculata",0.42,0.83,1,FALSE,"N","do spend nonbreeding season partially in eastern pacific but typically not considered to be far enough into CCS in large #s",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,0.465,NA,NA,NA,0.585526315789474,5.83226408491776e-05,"DV"
"64","PAAU","Alcidae (Auks)","Parakeet Auklet","Aethia psittacula",NA,NA,1,FALSE,"N","do spend nonbreeding season partially in eastern pacific but typically not considered to be far enough into CCS in large #s",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00146,0.646,NA,NA,NA,0.823684210526316,0.00839846028228158,"DV"
"65","BRAN","Anatidae (Ducks, Geese, & Waterfowl)","Brant","Branta bernicla",1.21,40.85,2,FALSE,"Y",">1% gobal population uses CCS",NA,"LC","unknown",NA,NA,NA,NA,"A (threatened)",NA,NA,NA,NA,0.06795,0.521,NA,NA,NA,0.65921052631579,0.396185699288464,"DV"
"66","HADU","Anatidae (Ducks, Geese, & Waterfowl)","Harlequin Duck","Histrionicus histrionicus",1.06,1.06,2,FALSE,"Y",">1% gobal population uses CCS",NA,"LC","increasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00465,0.698,NA,NA,NA,0.892105263157895,0.0270033827131692,"DV"
"67","COME","Anatidae (Ducks, Geese, & Waterfowl)","Common Merganser","Mergus merganser",NA,NA,1,FALSE,"N","primarily highly coastal/inshore",NA,"LC","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00685,0.576,NA,NA,NA,0.731578947368421,0.0398343636999883,"DV"
"68","RBME","Anatidae (Ducks, Geese, & Waterfowl)","Red-breasted Merganser","Mergus serrator",0.23,1.07,1,FALSE,"N","primarily highly coastal/inshore",NA,"LC","stable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00777,0.576,NA,NA,NA,0.731578947368421,0.0452000466581127,"DV"
"69","HOGR","Anatidae (Ducks, Geese, & Waterfowl)","Horned Grebe","Podiceps auritus",0.16,1.61,1,FALSE,"N","primarily highly coastal/inshore",NA,"VU","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.338,NA,NA,NA,0.418421052631579,0.00921497725417007,"DV"
"70","LTDU","Anatidae (Ducks, Geese, & Waterfowl)","Long-tailed Duck","Clangula hyemalis",NA,NA,1,FALSE,"N","vagrant",NA,"VU","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00588,0.576,NA,NA,NA,0.731578947368421,0.0341770675376181,"DV"
"71","STAL","Diomedeidae (Albatrosses)","Short-tailed Albatross","Phoebastria albatrus",12,12,2,FALSE,"Y",">1% gobal population uses CCS",NA,"VU","increasing","endangered",NA,"endangered",NA,NA,"endangered",NA,NA,NA,0.01056,0.162,NA,NA,NA,0.186842105263158,0.0614720634550332,"DV"
"72","LSTP","Hydrobatidae (Northern Storm-petrels)","Least Storm-Petrel","Hydrobates microsoma",NA,NA,1,FALSE,"N","occasional use waters as far up as central california in late summer but vast majority of population in Gulf of CA",NA,"LC","stable",NA,NA,NA,NA,"A (threatened)",NA,NA,NA,NA,0.00591,0.332,NA,NA,NA,0.410526315789474,0.0343520354601656,"DV"
"73","TOSP","Hydrobatidae (Northern Storm-petrels)","Townsend's Storm-Petrel","Hydrobates socorroensis",NA,NA,NA,FALSE,"Y","Included bc of anticipated range shifts (see Emma vuln update)",NA,"EN","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00515,0.371,NA,NA,NA,0.461842105263158,0.0299195147556281,"DV"
"74","FOTE","Laridae (Gulls, Terns, Skimmers)","Forster's Tern","Sterna forsteri",2.96,6.75,2,TRUE,"Y",">1% gobal population uses CCS",NA,"LC","increasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01513,0.381,NA,NA,NA,0.475,0.0881255103231074,"DV"
"75","RBGU","Laridae (Gulls, Terns, Skimmers)","Ring-billed Gull","Larus delawarensis",0.38,1.92,2,FALSE,"Y",">1% gobal population uses CCS",NA,"LC","increasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04989,0.134,NA,NA,NA,0.15,0.290855009914849,"CV"
"76","SBIG","Laridae (Gulls, Terns, Skimmers)","Short-billed Gull","Larus brachyrhynchus",0.05,1.61,2,FALSE,"Y",">1% gobal population uses CCS",NA,"LC","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04989,0.183,NA,NA,NA,0.214473684210526,0.290855009914849,"CV"
"77","BLSK","Laridae (Gulls, Terns, Skimmers)","Black Skimmer","Rynchops niger",1.27,1.91,2,TRUE,"Y",">1% gobal population uses CCS",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01513,0.589,NA,NA,NA,0.748684210526316,0.0881255103231074,"DV"
"78","LETE","Laridae (Gulls, Terns, Skimmers)","Least Tern","Sternula antillarum",0.4,19.26,2,FALSE,"Y",">1% gobal population uses CCS",NA,"LC","decreasing","endangered","endangered",NA,NA,"P (endangered) (only for browni)",NA,NA,NA,NA,0.01171,0.381,NA,NA,NA,0.475,0.0681791671526887,"DV"
"79","GBTE","Laridae (Gulls, Terns, Skimmers)","Gull-billed Tern","Gelochelidon nilotica",0.02,0.05,1,TRUE,"N","primarily inshore",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01171,0.381,NA,NA,NA,0.475,0.0681791671526887,"DV"
"80","BLTE","Laridae (Gulls, Terns, Skimmers)","Black Tern","Chlidonias niger",0,0.16,1,FALSE,"N","breed inshore, winters farther offshore but not in CCS",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01171,0.381,NA,NA,NA,0.475,0.0681791671526887,"DV"
"81","WISP","Oceanatidae (Southern storm-petrels)","Wilson's Storm-Petrel","Oceanites oceanicus",1,1,1,FALSE,"N","very low use, only in nonbreeding season",NA,"LC","stable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00619,0.332,NA,NA,NA,0.410526315789474,0.0359850694039426,"DV"
"82","AWPE","Pelecanidae (Pelicans)","American White Pelican","Pelecanus erythrorhynchos",50,50,3,FALSE,"N","inland species, not pelagic",NA,"LC","increasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01108,NA,NA,NA,NA,NA,0.0645048407791905,"tie"
"83","RBTR","Phaethontidae (Tropicbirds)","Red-billed Tropicbird","Phaethon aethereus",NA,NA,NA,FALSE,"Y","Included bc of anticipated range shifts (see Emma vuln update)",NA,"LC","decreasing",NA,NA,NA,NA,"A (threatened)",NA,NA,NA,NA,0.17148,0.184,NA,NA,NA,0.215789473684211,1,"CV"
"84","EAGR","Podicipedidae (Grebes)","Eared Grebe","Podiceps nigricollis",0.47,4.94,2,FALSE,"Y",">1% gobal population uses CCS",NA,"LC","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00169,0.338,NA,NA,NA,0.418421052631579,0.00973988102181267,"DV"
"85","RNGR","Podicipedidae (Grebes)","Red-necked Grebe","Podiceps grisegena",0.92,30,2,FALSE,"Y",">1% gobal population uses CCS",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156,0.338,NA,NA,NA,0.418421052631579,0.00898168669077336,"DV"
"86","MOPE","Procellariidae (Petrels, Shearwaters)","Mottled Petrel","Pterodroma inexpectata",0,7.33,2,FALSE,"Y",">1% gobal population uses CCS",NA,"NT","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00044,0.299,NA,NA,NA,0.367105263157895,0.00244955091566546,"DV"
"87","HAPE","Procellariidae (Petrels, Shearwaters)","Hawaiian Petrel","Pterodroma sandwichensis",NA,NA,1,FALSE,"Y","Birds of the World cites only 4 reports in CCS since 1986 but seeing a bunch more confirmed reports on ebird. Should highlight as important data need for better understanding of distribution",NA,"EN","decreasing","endangered",NA,NA,NA,NA,NA,NA,NA,NA,0.00074,0.26,NA,NA,NA,0.315789473684211,0.00419923014114079,"DV"
"88","MASH","Procellariidae (Petrels, Shearwaters)","Manx Shearwater","Puffinus puffinus",NA,NA,1,FALSE,"N","vagrant",NA,"LC","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00042,0.195,NA,NA,NA,0.230263157894737,0.00233290563396711,"DV"
"89","MABO","Sulidae (Gannets, Boobies)","Masked Booby","Sula dactylatra",NA,NA,NA,FALSE,"Y","Included bc of anticipated range shifts (see Emma vuln update)",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00549,0.75,NA,NA,NA,0.960526315789474,0.0319024845445002,"DV"
"90","NABO","Sulidae (Gannets, Boobies)","Nazca Booby","Sula granti",NA,NA,NA,FALSE,"Y","Included bc of anticipated range shifts (see Emma vuln update)",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75,NA,NA,NA,0.960526315789474,0.0343520354601656,"DV"
"91","BFBO","Sulidae (Gannets, Boobies)","Blue-footed Booby","Sula nebouxii",NA,NA,NA,TRUE,"Y","Included bc of anticipated range shifts (see Emma vuln update)",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75,NA,NA,NA,0.960526315789474,0.0343520354601656,"DV"
"92","BRBO","Sulidae (Gannets, Boobies)","Brown Booby","Sula leucogaster",NA,NA,NA,TRUE,"Y","Included bc of anticipated range shifts (see Emma vuln update)",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00608,0.75,NA,NA,NA,0.960526315789474,0.0353435203546017,"DV"
"93","RFBO","Sulidae (Gannets, Boobies)","Red-footed Booby","Sula sula",NA,NA,NA,FALSE,"Y","Included bc of anticipated range shifts (see Emma vuln update)",NA,"LC","decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01109,0.678,NA,NA,NA,0.86578947368421,0.0645631634200397,"DV"
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tie"
