"","alpha_code","taxonomy","common_name","scientific_name","pct_in_CCS_Lower","pct_in_CCS_Upper","CCSpop_Score","CACurrent_breeding","regional","why?","exposure_model","iucn_status","iucn_trend","ESA","CA_status","OR_status","WA_status","NOM_059_ECOL_2001","COSEWIC","propOR","propCA","propALL","CV","DV","rescaled_propALL","rescaled_propCA","rescaled_propOR","rescaled_DV","rescaled_CV","highest_sens"
"16","LESP","Hydrobatidae (Northern Storm-petrels)","Leach's Storm-Petrel","Hydrobates leucorhous",7.58,8.83,2,TRUE,"Y",">1% gobal population uses CCS","LESP","VU","decreasing",NA,NA,NA,NA,"P (endangered) & A (threatened) depending on subsp",NA,0.000347739412578463,0.000254698567982043,0.000602437980560507,0.00756,0.228,0.0565652135807017,0.0277519393763011,0.0798286231281175,0.273684210526316,0.04397527120028,"DV"
"17","BLKI","Laridae (Gulls, Terns, Skimmers)","Black-legged Kittiwake","Rissa tridactyla",5.71,9.71,2,FALSE,"Y",">1% gobal population uses CCS","BLKI","VU","decreasing",NA,NA,NA,NA,NA,NA,0.00099073860269589,0.00129656139693838,0.00228729999963427,0.02823,0.093,0.263391626903625,0.206050617112857,0.251712392105315,0.0960526315789474,0.16452816983553,"CV"
"18","FTSP","Hydrobatidae (Northern Storm-petrels)","Fork-tailed Storm-Petrel","Hydrobates furcatus",0.16,0.17,1,TRUE,"Y","breeds in CCS","FTSP","LC","increasing",NA,NA,NA,NA,NA,NA,0.000978136534755928,0.000527617204366272,0.0015057537391222,0.00615,0.227,0.16745237011124,0.0744577346542812,0.248343661681204,0.272368421052632,0.0357517788405459,"DV"
"19","HERG","Laridae (Gulls, Terns, Skimmers)","Herring Gull","Larus argentatuss",7.23,0,2,FALSE,"Y",">1% gobal population uses CCS","HERG-ICGU","LC","decreasing",NA,NA,NA,NA,NA,NA,0.00102434506445323,0.00192564164524694,0.00294998670970017,0.03688,0.055,0.344740196607302,0.313707952940798,0.260695926451267,0.0460526315789474,0.214977254170069,"CV"
"20","ICGU","Laridae (Gulls, Terns, Skimmers)","Iceland Gull","Larus glaucoides",15,15,2,FALSE,"Y",">1% gobal population uses CCS","HERG-ICGU","LC","stable",NA,NA,NA,NA,NA,NA,0.00102434506445323,0.00192564164524694,0.00294998670970017,0.04989,0.055,0.344740196607302,0.313707952940798,0.260695926451267,0.0460526315789474,0.290855009914849,"CV"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEG",NA,NA,NA,NA,NA,NA,NA,NA,0.00190280630446103,0.00323385340207853,0.00513665970653955,NA,NA,0.61316676681096,0.537588122152847,0.495522394592461,NA,NA,"tie"
"22","SAGU","Laridae (Gulls, Terns, Skimmers)","Sabine's Gull","Xema sabini",9.71,19.42,2,FALSE,"Y",">1% gobal population uses CCS","SAGU","LC","stable",NA,NA,NA,NA,NA,NA,0.00254332703793564,0.00362383455789399,0.00616716159582963,0.01333,0.155,0.739666745605384,0.604327353548331,0.666743633234378,0.177631578947368,0.0776274349702555,"DV"
"23","PALO","Gaviidae (Loons)","Pacific Loon","Gavia pacifica",0,37.55,3,FALSE,"Y",">1% gobal population uses CCS","LOON","LC","increasing",NA,NA,NA,NA,NA,NA,0.000476600634569888,0.000953410474160729,0.00143001110873062,0.00231,0.532,0.158154530642969,0.147325654387559,0.114275248958001,0.673684210526316,0.0133558847544617,"DV"
"24","YBLO","Gaviidae (Loons)","Yellow-billed Loon","Gavia adamsii",2,3,2,FALSE,"Y",">1% gobal population uses CCS","LOON","NT","decreasing",NA,NA,NA,NA,NA,NA,0.000476600634569888,0.000953410474160729,0.00143001110873062,0.00203,0.464,0.158154530642969,0.147325654387559,0.114275248958001,0.58421052631579,0.0117228508106847,"DV"
"25","ARLO","Gaviidae (Loons)","Arctic Loon","Gavia arctica",NA,NA,NA,FALSE,"N","only on the list as an artifact of the timing of the split from PALO and the way the loon SDM was made","LOON","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000476600634569888,0.000953410474160729,0.00143001110873062,NA,NA,0.158154530642969,0.147325654387559,0.114275248958001,NA,NA,"tie"
