expert,target_species,ref_model,weight,model_code
21,Short-tailed Albatross,Combined Parasitic & Long-tailed Jaeger Model,0.02,PAJA-LTJA
21,Short-tailed Albatross,Pomarine Jaeger,0.02,POJA
21,Short-tailed Albatross,South Polar Skua,0.07,SPSK
21,Short-tailed Albatross,Tufted Puffin,0.02,TUPU
21,Short-tailed Albatross,Common Murre,0.07,COMU
21,Short-tailed Albatross,Black-legged Kittiwake,0.05,BLKI
21,Short-tailed Albatross,Sabine’s Gull,0.01,SAGU
21,Short-tailed Albatross,Combined Common & Arctic Tern Model,0.05,COTE-ARTE
21,Short-tailed Albatross,Laysan Albatross,0.08,LAAL
21,Short-tailed Albatross,Black-footed Albatross,0.18,BFAL
21,Short-tailed Albatross,Leach’s Storm Petrel,0.03,LESP
21,Short-tailed Albatross,Northern Fulmar,0.2,NOFU
21,Short-tailed Albatross,"Combined Short-tailed, Sooty, & Flesh-footed Shearwater Model",0.2,STTS-SOSH-FFSH
21,Townsend's Storm-Petrel,Combined Phalarope Model,0.1,PHAL
21,Townsend's Storm-Petrel,Combined Parasitic & Long-tailed Jaeger Model,0.03,PAJA-LTJA
21,Townsend's Storm-Petrel,Pomarine Jaeger,0.05,POJA
21,Townsend's Storm-Petrel,South Polar Skua,0.06,SPSK
21,Townsend's Storm-Petrel,Combined Common & Arctic Tern Model,0.03,COTE-ARTE
21,Townsend's Storm-Petrel,Laysan Albatross,0.03,LAAL
21,Townsend's Storm-Petrel,Leach’s Storm Petrel,0.4,LESP
21,Townsend's Storm-Petrel,Cook’s Petrel,0.15,COPE
21,Townsend's Storm-Petrel,Pink-footed Shearwater,0.02,PFSH
21,Townsend's Storm-Petrel,"Combined Short-tailed, Sooty, & Flesh-footed Shearwater Model",0.13,STTS-SOSH-FFSH
21,Hawaiian Petrel,Combined Phalarope Model,0.08,PHAL
21,Hawaiian Petrel,Combined Parasitic & Long-tailed Jaeger Model,0.06,PAJA-LTJA
21,Hawaiian Petrel,Pomarine Jaeger,0.05,POJA
21,Hawaiian Petrel,South Polar Skua,0.05,SPSK
21,Hawaiian Petrel,Black-legged Kittiwake,0.06,BLKI
21,Hawaiian Petrel,Combined Common & Arctic Tern Model,0.04,COTE-ARTE
21,Hawaiian Petrel,Laysan Albatross,0.08,LAAL
21,Hawaiian Petrel,Black-footed Albatross,0.08,BFAL
21,Hawaiian Petrel,Leach’s Storm Petrel,0.25,LESP
21,Hawaiian Petrel,Murphy’s Petrel,0.12,MUPE
21,Hawaiian Petrel,Cook’s Petrel,0.13,COPE
22,Short-tailed Albatross,Black-footed Albatross,0.3,BFAL
22,Short-tailed Albatross,Northern Fulmar,0.6,NOFU
22,Short-tailed Albatross,Pink-footed Shearwater,0.1,PFSH
22,Townsend's Storm-Petrel,"Combined Scripp’s, Guadalupe, & Craveri’s Murrelet Model",0.2,SCMU-GUMU-CRMU
22,Townsend's Storm-Petrel,Leach’s Storm Petrel,0.1,LESP
22,Townsend's Storm-Petrel,Black Storm-Petrel,0.7,BLSP
22,Hawaiian Petrel,Black-footed Albatross,0.2,BFAL
22,Hawaiian Petrel,Murphy’s Petrel,0.3,MUPE
22,Hawaiian Petrel,Cook’s Petrel,0.3,COPE
22,Hawaiian Petrel,Buller’s Shearwater,0.2,BULS
23,Short-tailed Albatross,Laysan Albatross,0.63,LAAL
23,Short-tailed Albatross,Black-footed Albatross,0.21,BFAL
23,Short-tailed Albatross,Fork-tailed Storm-Petrel,0.16,FTSP
23,Townsend's Storm-Petrel,Ashy Storm-Petrel,0.5,ASSP
23,Townsend's Storm-Petrel,Black Storm-Petrel,0.5,BLSP
23,Hawaiian Petrel,Laysan Albatross,0.5,LAAL
23,Hawaiian Petrel,Cook’s Petrel,0.5,COPE
24,Short-tailed Albatross,Cassin’s Auklet,0.2,CAAU
24,Short-tailed Albatross,Sabine’s Gull,0.1,SAGU
24,Short-tailed Albatross,Combined Western & Glaucous-winged Gull Model,0.1,WEGU-WGWH-GWGU
24,Short-tailed Albatross,Combined Herring & Iceland Gull Model,0.1,HERG-ICGU
24,Short-tailed Albatross,Black-footed Albatross,0.3,BFAL
24,Short-tailed Albatross,Pink-footed Shearwater,0.2,PFSH
24,Townsend's Storm-Petrel,Leach’s Storm Petrel,0.1,LESP
24,Townsend's Storm-Petrel,Black Storm-Petrel,0.9,BLSP
24,Hawaiian Petrel,Laysan Albatross,0.3,LAAL
24,Hawaiian Petrel,Leach’s Storm Petrel,0.2,LESP
24,Hawaiian Petrel,Murphy’s Petrel,0.2,MUPE
24,Hawaiian Petrel,Cook’s Petrel,0.3,COPE
